city_ascii,country,lat,lng
Longba,China,33.535,105.349
Yangjiang,China,21.8556,111.9627
Jiamusi,China,46.8081,130.3653
Luohe,China,33.583,114.0109
Lincang,China,23.8864,100.0871
Xuanzhou,China,30.9475,118.7518
Medellin,Colombia,6.2308,-75.5906
Yunfu,China,22.9242,112.0353
Shaoxing,China,30.0,120.5833
Yantai,China,37.3997,121.2664
Huizhou,China,23.1115,114.4152
Lishui,China,28.45,119.9167
Mirzapur,India,25.146,82.569
Hamburg,Germany,53.55,10.0
Guangyuan,China,32.4353,105.8398
Huangshi,China,30.2018,115.0326
Cali,Colombia,3.4206,-76.5222
Xining,China,36.6239,101.7787
Lusaka,Zambia,-15.4167,28.2833
Daegu,South Korea,35.8717,128.6017
Ouagadougou,Burkina Faso,12.3686,-1.5275
Fortaleza,Brazil,-3.7275,-38.5275
Dandong,China,40.1167,124.3833
Yaounde,Cameroon,3.8667,11.5167
Zhuhai,China,22.2769,113.5678
Yingkou,China,40.6653,122.2297
Antalya,Turkey,36.8874,30.7075
Lianshan,China,40.7523,120.828
Nagpur,India,21.1497,79.0806
Queens,United States,40.7498,-73.7976
Jilin,China,43.8519,126.5481
Accra,Ghana,5.55,-0.2
Yuxi,China,24.3495,102.5432
Bekasi,Indonesia,-6.2349,106.9923
Ghaziabad,India,28.67,77.42
Luoyang,China,34.6587,112.4245
Brisbane,Australia,-27.4678,153.0281
Anshun,China,26.2456,105.934
Shangzhou,China,33.868,109.9244
Huainan,China,32.4831,117.0164
Depok,Indonesia,-6.394,106.8225
Kuaidamao,China,41.7302,125.9471
Colombo,Sri Lanka,6.9344,79.8428
Baku,Azerbaijan,40.3667,49.8352
Fukuoka,Japan,33.5833,130.4
Yan'an,China,36.5952,109.4863
Jincheng,China,35.4906,112.8483
Vancouver,Canada,49.25,-123.1
Nantong,China,31.9829,120.8873
Caracas,Venezuela,10.4806,-66.9036
Tangerang,Indonesia,-6.1783,106.6319
Sanmenxia,China,34.7736,111.195
Laibin,China,23.7333,109.2333
Konya,Turkey,37.8667,32.4833
Manaus,Brazil,-3.1,-60.0167
Esfahan,Iran,32.6447,51.6675
Qinbaling,China,35.7278,107.64
Baltimore,United States,39.3051,-76.6144
Ma'anshan,China,31.6858,118.5101
Shengli,China,37.45,118.4667
Gaoping,China,30.7824,106.1281
Las Vegas,United States,36.2333,-115.2654
Harare,Zimbabwe,-17.8292,31.0522
Perth,Australia,-31.9559,115.8606
Havana,Cuba,23.1367,-82.3589
Phnom Penh,Cambodia,11.5694,104.9211
Puning,China,23.2993,116.1586
Huaibei,China,33.9562,116.789
Qingyang,China,24.8141,118.5792
Kowloon,Hong Kong,22.3167,114.1833
Haiphong,Vietnam,20.8651,106.6838
Chongzuo,China,22.4167,107.3667
Rawalpindi,Pakistan,33.6,73.0333
Yushan,China,31.3867,120.9766
St. Louis,United States,38.6359,-90.2451
Hezhou,China,24.4164,111.5478
Kumasi,Ghana,6.6667,-1.6167
Pingliang,China,35.5412,106.6819
Vadodara,India,22.3,73.2
Portland,United States,45.5371,-122.65
Vishakhapatnam,India,17.7042,83.2978
Gaziantep,Turkey,37.0628,37.3792
Gujranwala,Pakistan,32.1567,74.19
Fushun,China,41.8708,123.8917
Riverside,United States,33.9381,-117.3949
Quito,Ecuador,-0.22,-78.5125
Minsk,Belarus,53.9,27.5667
Bamako,Mali,12.6458,-7.9922
Tijuana,Mexico,32.525,-117.0333
Bamenda,Cameroon,5.9614,10.1517
Boosaaso,Somalia,11.2886,49.1819
Indore,India,22.7167,75.8472
Sanliurfa,Turkey,37.1583,38.7917
Karaj,Iran,35.8272,50.9489
Vienna,Austria,48.2083,16.3725
Kananga,Congo (Kinshasa),-5.897,22.4488
Peshawar,Pakistan,34.0144,71.5675
Sapporo,Japan,43.0667,141.35
Pingxiang,China,27.6333,113.85
Ecatepec,Mexico,19.6097,-99.06
Orlando,United States,28.4773,-81.337
Sacramento,United States,38.5677,-121.4685
Almaty,Kazakhstan,43.2775,76.8958
Aleppo,Syria,36.2,37.16
San Juan,Puerto Rico,18.3985,-66.061
San Antonio,United States,29.4632,-98.5238
Yinchuan,China,38.4795,106.2254
Santos,Brazil,-23.9369,-46.325
Blantyre,Malawi,-15.7861,35.0058
Thane,India,19.1972,72.9722
Bucharest,Romania,44.4325,26.1039
Curitiba,Brazil,-25.4297,-49.2711
Tainan,Taiwan,22.9833,120.1833
Xiping,China,40.082,113.2981
Multan,Pakistan,30.1978,71.4697
Port Harcourt,Nigeria,4.8242,7.0336
Jixi,China,45.2937,130.965
Saidu Sharif,Pakistan,34.75,72.3572
Warsaw,Poland,52.23,21.0111
Liaoyang,China,41.2643,123.1772
Beihai,China,21.4667,109.1
Meru,Kenya,0.05,37.65
Brazzaville,Congo (Brazzaville),-4.2694,15.2714
Fuxin,China,42.0127,121.6486
Wuwei,China,37.9278,102.6329
Mersin,Turkey,36.8,34.6333
Bhopal,India,23.25,77.4167
Lubumbashi,Congo (Kinshasa),-11.6647,27.4794
Denpasar,Indonesia,-8.65,115.2167
Davao,Philippines,7.0667,125.6
Shuyangzha,China,34.1299,118.7734
Adana,Turkey,37.0,35.3213
Damascus,Syria,33.5131,36.2919
Brussels,Belgium,50.8467,4.3525
Hyderabad City,Pakistan,25.3792,68.3683
Diyarbakir,Turkey,37.91,40.24
San Jose,United States,37.3012,-121.848
Chinchvad,India,18.6186,73.8037
Pittsburgh,United States,40.4397,-79.9763
Montevideo,Uruguay,-34.8836,-56.1819
Shuozhou,China,39.3408,112.4292
Cincinnati,United States,39.1413,-84.506
Benxi,China,41.292,123.761
Baiyin,China,36.5448,104.1766
Manhattan,United States,40.7834,-73.9662
Mosul,Iraq,36.34,43.13
Patna,India,25.6,85.1
Cleveland,United States,41.4764,-81.6805
Tegucigalpa,Honduras,14.1,-87.2167
Kampala,Uganda,0.3136,32.5811
Sanzhou,China,30.82,108.4
Changshu,China,31.65,120.7333
Mecca,Saudi Arabia,21.4225,39.8233
Heihe,China,50.2458,127.4886
Jingdezhen,China,29.2942,117.2036
Conakry,Guinea,9.5092,-13.7122
Caloocan City,Philippines,14.65,120.97
Indianapolis,United States,39.7771,-86.1458
Austin,United States,30.3005,-97.7522
Recife,Brazil,-8.05,-34.9
Sangereng,Indonesia,-6.2889,106.7181
Kansas City,United States,39.1238,-94.5541
Zhongli,Taiwan,24.965,121.2168
Novosibirsk,Russia,55.0333,82.9167
Bilaspur,India,22.09,82.15
Semarang,Indonesia,-6.9667,110.4167
Ludhiana,India,30.91,75.85
Stockholm,Sweden,59.3294,18.0686
Chengtangcun,China,35.0833,117.15
Balandougou,Mali,13.3558,-9.5517
Agwar,India,27.18,78.02
Agra,India,27.18,78.02
Leon de los Aldama,Mexico,21.1167,-101.6833
Puebla,Mexico,19.0333,-98.1833
Narayanganj,Bangladesh,23.62,90.5
Yopougon,Côte d'Ivoire,5.3167,-4.0667
Hebi,China,35.7497,114.2887
Shiraz,Iran,29.61,52.5425
Cordoba,Argentina,-31.4167,-64.1833
Madurai,India,9.9252,78.1198
Huzhou,China,30.8925,120.0875
Tabriz,Iran,38.0814,46.3006
Jamshedpur,India,22.7925,86.1842
Columbus,United States,39.9862,-82.9855
Sofia,Bulgaria,42.7,23.33
Kawasaki,Japan,35.5167,139.7
Zhangjiajie,China,29.1255,110.4844
Palembang,Indonesia,-2.9861,104.7556
Aba,Nigeria,5.1167,7.3667
Kobe,Japan,34.69,135.1956
Jiaxing,China,30.7522,120.75
Charlotte,United States,35.2083,-80.8303
Guiping,China,23.4,110.0833
Lianjiang,China,21.6146,110.2794
Ximeicun,China,24.9633,118.3811
Jianguang,China,28.1958,115.7833
Yucheng,China,29.9888,103.0007
Xushan,China,30.1697,121.2665
Virginia Beach,United States,36.7335,-76.0435
Panama City,Panama,8.9833,-79.5167
Belem,Brazil,-1.4558,-48.5039
Leizhou,China,20.9147,110.0806
Gwangju,South Korea,35.1653,126.8486
Nasik,India,20.0,73.78
Porto Alegre,Brazil,-30.0331,-51.23
Valencia,Venezuela,10.1667,-68.0
Onitsha,Nigeria,6.1667,6.7833
Abu Dhabi,United Arab Emirates,24.4667,54.3667
Zapopan,Mexico,20.7167,-103.4
Daejeon,South Korea,36.351,127.385
Bronx,United States,40.8501,-73.8662
Yekaterinburg,Russia,56.8356,60.6128
Huazhou,China,32.6832,112.079
Kyoto,Japan,35.0117,135.7683
Jinhua,China,29.1046,119.6494
Shuangyashan,China,46.6388,131.1545
Amsterdam,Netherlands,52.3728,4.8936
Pizhou,China,34.3422,118.0097
El Kelaa des Srarhna,Morocco,32.0481,-7.4083
Kharkiv,Ukraine,49.9925,36.2311
Dakar,Senegal,14.6928,-17.4467
Yangshe,China,31.8775,120.5512
Guyuan,China,36.008,106.2782
Rui'an,China,27.778,120.6526
Muscat,Oman,23.6139,58.5922
Wenling,China,28.3797,121.3718
Gaozhou,China,21.9135,110.8481
Faridabad,India,28.4167,77.3
Chizhou,China,30.6583,117.4849
Khulna,Bangladesh,22.8167,89.55
Ulaanbaatar,Mongolia,47.9203,106.9172
Goiania,Brazil,-16.6667,-49.25
Fuqing,China,25.7232,119.3735
Kayseri,Turkey,38.7225,35.4875
Tel Aviv-Yafo,Israel,32.08,34.78
Wuzhong,China,37.9874,106.1919
Pingdu,China,36.7833,119.9556
Belgrade,Serbia,44.82,20.46
Aurangabad,India,19.88,75.32
Yangquan,China,37.8576,113.5762
Yutan,China,28.3147,112.554
Copenhagen,Denmark,55.6761,12.5683
Milan,Italy,45.4669,9.19
Huangshan,China,29.7132,118.3151
Auckland,New Zealand,-36.8406,174.74
Milwaukee,United States,43.0642,-87.9675
Makassar,Indonesia,-5.1619,119.4362
Liangshi,China,27.2578,111.7351
Samsun,Turkey,41.2903,36.3336
Rajkot,India,22.3,70.7833
Prague,Czechia,50.0875,14.4214
Barranquilla,Colombia,10.9833,-74.8019
Al Basrah,Iraq,30.515,47.81
Saitama,Japan,35.8614,139.6456
Guarulhos,Brazil,-23.4628,-46.5328
Juarez,Mexico,31.7386,-106.487
Mandalay,Myanmar,21.9831,96.0844
Xintai,China,35.91,117.78
Wusong,China,30.9333,117.7667
Meerut,India,28.98,77.71
Yushu,China,44.8249,126.5451
Rongcheng,China,26.2312,104.0966
Baishan,China,41.9377,126.4179
Dayan,China,26.8808,100.2208
Adelaide,Australia,-34.9275,138.6
Haicheng,China,40.8523,122.7474
Tripoli,Libya,32.8872,13.1914
Jiangyin,China,31.9087,120.2653
Yicheng,China,31.3697,119.8239
Cacuaco,Angola,-8.8053,13.2444
Porto,Portugal,41.1621,-8.622
Rosario,Argentina,-32.9575,-60.6394
Canagatan,Philippines,18.0,121.8
Soweto,South Africa,-26.2678,27.8585
Providence,United States,41.823,-71.4187
Helsinki,Finland,60.1708,24.9375
Jabalpur,India,23.1667,79.9333
Rucheng,China,32.3852,120.5634
Nizhniy Novgorod,Russia,56.3269,44.0075
Huaiyin,China,33.5819,119.028
Ahvaz,Iran,31.3203,48.6692
Jepara,Indonesia,-6.5333,110.6667
Comayaguela,Honduras,14.0981,-87.2097
Laiwu,China,36.1833,117.6667
Sharjah,United Arab Emirates,25.3575,55.3908
Jingling,China,30.6667,113.1667
Kalamboli,India,19.2333,73.1333
Kazan,Russia,55.7964,49.1089
Yongcheng,China,33.9317,116.4459
Sumedang,Indonesia,-6.84,107.9208
Calgary,Canada,51.05,-114.0667
Can Tho,Vietnam,10.0333,105.7833
Suwon,South Korea,37.2667,127.0167
Yiwu,China,29.3081,120.0698
Bagam,Indonesia,1.0833,104.0333
Beidao,China,34.602,105.918
Vasai,India,19.47,72.8
Xiangshui,China,26.5964,104.8314
Jacksonville,United States,30.3322,-81.6749
Akcaabat,Turkey,41.0167,39.55
Dadukou,China,26.5849,101.7149
Campinas,Brazil,-22.9058,-47.0608
Lingcheng,China,22.7,110.35
Vila Velha,Brazil,3.2167,-51.2167
Mombasa,Kenya,-4.05,39.6667
Najafgarh,India,28.6092,76.9798
Xinyu,China,27.795,114.9242
Chelyabinsk,Russia,55.15,61.4
Qom,Iran,34.64,50.8764
Hargeysa,Somalia,9.5631,44.0675
Zhangye,China,38.9355,100.4553
Gazipura,Bangladesh,23.9889,90.375
Varanasi,India,25.3189,83.0128
Hiroshima,Japan,34.3914,132.4519
Chiang Mai,Thailand,18.7953,98.9986
Maiduguri,Nigeria,11.8333,13.15
Maputo,Mozambique,-25.9667,32.5833
Mbandaka,Congo (Kinshasa),0.0478,18.2558
Doha,Qatar,25.2867,51.5333
Medina,Saudi Arabia,24.47,39.61
Srinagar,India,34.09,74.79
Omsk,Russia,54.9667,73.3833
Liaoyuan,China,42.8976,125.1381
Yingtan,China,28.2333,117.0
Cilacap,Indonesia,-7.7167,109.017
Dublin,Ireland,53.35,-6.2603
Pikine,Senegal,14.75,-17.4
Samara,Russia,53.2028,50.1408
Guankou,China,28.1417,113.625
Bandar Lampung,Indonesia,-5.45,105.2667
Ulsan,South Korea,35.55,129.3167
Dingzhou,China,38.5158,114.9845
Lianyuan,China,27.6961,111.6659
Dhanbad,India,23.7998,86.4305
Nay Pyi Taw,Myanmar,19.7475,96.115
Kaiyuan,China,36.0656,113.8153
Zhuji,China,29.7169,120.2314
Kigali,Rwanda,-1.9536,30.0606
Leiyang,China,26.4179,112.8457
Benin City,Nigeria,6.3333,5.6222
Bafoussam,Cameroon,5.4667,10.4167
Xiantao,China,30.3833,113.4
Rostov,Russia,47.2333,39.7
Salt Lake City,United States,40.7776,-111.9311
Bukavu,Congo (Kinshasa),-2.5,28.8667
Amritsar,India,31.64,74.86
Shagamu,Nigeria,6.8333,3.65
Yingchuan,China,34.1511,113.4733
Aligarh,India,27.88,78.08
Callao,Peru,-12.0333,-77.1333
Tbilisi,Georgia,41.7225,44.7925
Guwahati,India,26.1722,91.7458
Ufa,Russia,54.7261,55.9475
Fes,Morocco,34.0433,-5.0033
Ciudad Nezahualcoyotl,Mexico,19.4081,-99.0186
Sao Luis,Brazil,-2.5283,-44.3044
Bien Hoa,Vietnam,10.95,106.8167
Mexicali,Mexico,32.6633,-115.4678
Sevilla,Spain,37.24,-5.99
Ikare,Nigeria,7.5167,5.75
Nashville,United States,36.1715,-86.7842
Xibeijie,China,39.737,98.5049
Tamale,Ghana,9.4075,-0.8533
Yuyao,China,30.0372,121.1546
Hanchuan,China,30.652,113.8274
Gongzhuling,China,43.5036,124.8088
N'Djamena,Chad,12.11,15.05
Krasnoyarsk,Russia,56.0089,92.8719
Cologne,Germany,50.9364,6.9528
Zhufeng,China,36.0,119.4167
Ezhou,China,30.3972,114.8842
Nur-Sultan,Kazakhstan,51.1472,71.4222
Sao Goncalo,Brazil,-22.8269,-43.0539
Nezahualcoyotl,Mexico,19.4006,-99.0148
Nouakchott,Mauritania,18.0858,-15.9785
Haora,India,22.58,88.3294
Tongjin,South Korea,37.2333,127.2
Xiashi,China,30.5333,120.6833
Yerevan,Armenia,40.1814,44.5144
Bujumbura,Burundi,-3.3833,29.3667
Bishkek,Kyrgyzstan,42.8747,74.6122
Vereeniging,South Africa,-26.6736,27.9319
Taixing,China,32.1724,120.0142
Ranchi,India,23.36,85.33
Gwalior,India,26.2215,78.178
Zhongwei,China,37.5139,105.1884
Oslo,Norway,59.9133,10.7389
Edmonton,Canada,53.5344,-113.4903
Raleigh,United States,35.8324,-78.6429
Goyang,South Korea,37.65,126.8
Sendai,Japan,38.2682,140.8694
Mizhou,China,35.99,119.3801
Xishan,China,27.6609,113.4946
Barquisimeto,Venezuela,10.0678,-69.3467
Hegang,China,47.3139,130.2775
Tunis,Tunisia,36.8064,10.1817
Chandigarh,India,30.75,76.78
Voronezh,Russia,51.6717,39.2106
